"site","distinct_drought_events","drought_type","lat","lon","period"
"Auckland (Auckland)",8,"Meteorological drought",-37.00813,174.78873,"2013-2022"
"Blenheim (Marlborough)",5,"Meteorological drought",-41.52133,173.86439,"2013-2022"
"Christchurch (Canterbury)",4,"Meteorological drought",-43.493,172.537,"2013-2022"
"Dannevirke (Manawatū-Whanganui)",5,"Meteorological drought",-40.21,176.109,"2013-2022"
"Dunedin (Otago)",10,"Meteorological drought",-45.90129,170.5147,"2013-2022"
"Gisborne (Gisborne)",5,"Meteorological drought",-38.6586,177.9851,"2013-2022"
"Gore (Southland)",8,"Meteorological drought",-46.115,168.887,"2013-2022"
"Hamilton (Waikato)",7,"Meteorological drought",-37.86088,175.33175,"2013-2022"
"Hokitika (West Coast)",3,"Meteorological drought",-42.71228,170.98428,"2013-2022"
"Invercargill (Southland)",4,"Meteorological drought",-46.41741,168.33052,"2013-2022"
"Kerikeri (Northland)",5,"Meteorological drought",-35.183,173.926,"2013-2022"
"Lake Tekapo (Canterbury)",4,"Meteorological drought",-44.002,170.441,"2013-2022"
"Masterton (Wellington)",7,"Meteorological drought",-40.957,175.707,"2013-2022"
"Milford Sound (Southland)",4,"Meteorological drought",-44.67384,167.92406,"2013-2022"
"Napier (Hawke's Bay)",7,"Meteorological drought",-39.49846,176.91189,"2013-2022"
"Nelson (Nelson)",3,"Meteorological drought",-41.299,173.226,"2013-2022"
"New Plymouth (Taranaki)",4,"Meteorological drought",-39.0079,174.18382,"2013-2022"
"Queenstown (Otago)",5,"Meteorological drought",-45.01758,168.74005,"2013-2022"
"Reefton (West Coast)",6,"Meteorological drought",-42.11578,171.86014,"2013-2022"
"Rotorua (Bay of Plenty)",4,"Meteorological drought",-38.10595,176.31485,"2013-2022"
"Tara Hills (Canterbury)",5,"Meteorological drought",-44.52612,169.88948,"2013-2022"
"Taumarunui (Manawatū-Whanganui)",6,"Meteorological drought",-38.88784,175.25981,"2013-2022"
"Taupō (Waikato)",7,"Meteorological drought",-38.74263,176.08104,"2013-2022"
"Tauranga (Bay of Plenty)",5,"Meteorological drought",-37.673,176.196,"2013-2022"
"Timaru (Canterbury)",6,"Meteorological drought",-44.30517,171.22141,"2013-2022"
"Waiouru (Manawatū-Whanganui)",9,"Meteorological drought",-39.46249,175.66283,"2013-2022"
"Wellington (Wellington)",5,"Meteorological drought",-41.285,174.768,"2013-2022"
"Whanganui (Manawatū-Whanganui)",7,"Meteorological drought",-39.93704,175.04509,"2013-2022"
"Whangaparāoa (Auckland)",6,"Meteorological drought",-36.606,174.835,"2013-2022"
"Whangārei (Northland)",4,"Meteorological drought",-35.769,174.364,"2013-2022"
