"site","NIWA climate site."
"season","Season or Annual data (combined for ease of data use)"
"precipitation","Rainfall in mm"
"precipitation_units","Precipitation is measured in mm"
"period_start","Start date of season or year"
"period_end","End date of season or year"
"lat","Approximate latitude location of NIWA climate stations to represent a site."
"lon","Approximate longitude location of NIWA climate stations to represent a site."
"anomaly_1961","Anomaly against baseline 1961-1990"
"anomaly_1991","Anomaly against baseline 1991-2020"
